Date,Procedure,n_Procedure,Temperature,EventTarget,Day,2015,Month,Tareeq
12/11/2015,A,1,27,1,Friday,1,1.0,0.3548387096774194
12/11/2015,B,1,27,1,Friday,1,1.0,0.3548387096774194
12/11/2015,C,0,27,1,Friday,1,1.0,0.3548387096774194
12/12/2015,A,3,21,0,Saturday,1,1.0,0.3870967741935484
12/12/2015,B,2,21,0,Saturday,1,1.0,0.3870967741935484
12/12/2015,C,3,21,0,Saturday,1,1.0,0.3870967741935484
12/13/2015,A,5,20,1,Sunday,1,1.0,0.41935483870967744
12/13/2015,B,2,20,1,Sunday,1,1.0,0.41935483870967744
12/13/2015,C,3,20,1,Sunday,1,1.0,0.41935483870967744
12/14/2015,A,8,27,0,Monday,1,1.0,0.45161290322580644
12/14/2015,B,2,27,0,Monday,1,1.0,0.45161290322580644
12/14/2015,C,2,27,0,Monday,1,1.0,0.45161290322580644
12/15/2015,A,10,22,0,Tuesday,1,1.0,0.4838709677419355
12/15/2015,B,3,22,0,Tuesday,1,1.0,0.4838709677419355
12/15/2015,C,4,22,0,Tuesday,1,1.0,0.4838709677419355
12/16/2015,A,5,23,0,Wednesday,1,1.0,0.5161290322580645
12/16/2015,B,1,23,0,Wednesday,1,1.0,0.5161290322580645
12/16/2015,C,3,23,0,Wednesday,1,1.0,0.5161290322580645
12/17/2015,A,5,24,2,Thursday,1,1.0,0.5483870967741935
12/17/2015,B,0,24,2,Thursday,1,1.0,0.5483870967741935
12/17/2015,C,4,24,2,Thursday,1,1.0,0.5483870967741935
12/18/2015,A,9,20,2,Friday,1,1.0,0.5806451612903226
12/18/2015,B,1,20,2,Friday,1,1.0,0.5806451612903226
12/18/2015,C,4,20,2,Friday,1,1.0,0.5806451612903226
12/19/2015,A,4,25,2,Saturday,1,1.0,0.6129032258064516
12/19/2015,B,0,25,2,Saturday,1,1.0,0.6129032258064516
12/19/2015,C,2,25,2,Saturday,1,1.0,0.6129032258064516
12/20/2015,A,8,25,2,Sunday,1,1.0,0.6451612903225806
12/20/2015,B,4,25,2,Sunday,1,1.0,0.6451612903225806
12/20/2015,C,2,25,2,Sunday,1,1.0,0.6451612903225806
